Vehicle Type,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
Bike,12.3,19.8,379.0,30.36,4.3,4.9,4
Uber XL,11.1,33.9,432.0,39.81,4.4,5.0,1
Bike,11.9,16.1,1124.0,35.65,5.0,3.7,2
Auto,11.5,37.3,493.0,8.24,3.1,4.1,3
Go Mini,8.6,19.6,972.0,47.54,4.0,4.3,1
Go Sedan,10.3,33.8,167.0,42.61,4.2,4.6,0
Uber XL,3.0,42.6,941.0,3.52,4.6,3.9,2
Auto,10.2,16.2,290.0,18.16,4.6,4.6,4
Go Mini,9.6,15.3,431.0,42.84,4.3,4.8,3
Go Mini,2.6,27.7,64.0,18.47,4.2,4.4,3
Go Sedan,10.4,17.3,246.0,11.06,4.9,4.8,3
Bike,6.7,15.1,277.0,14.31,4.4,4.9,4
Bike,8.4,16.1,240.0,23.96,4.2,5.0,3
Go Mini,9.8,15.6,1611.0,11.54,4.6,4.6,3
Go Sedan,5.1,32.9,452.0,28.58,4.2,4.9,3
Bike,9.1,36.4,374.0,5.57,4.1,4.9,0
Auto,12.8,28.1,476.0,13.15,4.3,3.1,3
Go Mini,8.8,39.4,743.0,8.37,4.2,4.9,3
eBike,13.7,33.2,636.0,16.21,4.6,4.6,3
eBike,13.2,20.0,432.0,8.0,4.2,4.9,3
Go Mini,6.7,32.2,648.0,48.81,4.2,4.1,0
Go Mini,2.2,35.1,475.0,36.74,4.6,4.4,3
eBike,6.9,24.3,312.0,14.78,4.3,3.9,3
Auto,8.1,32.7,524.0,42.25,4.2,4.2,3
Premier Sedan,3.8,34.5,79.0,15.98,4.3,3.7,4
Premier Sedan,4.7,26.4,113.0,8.94,4.3,4.3,0
Auto,2.2,38.5,293.0,46.06,4.4,4.7,3
eBike,13.4,21.7,431.0,24.34,3.7,4.9,1
Auto,14.7,31.3,391.0,32.61,3.9,4.6,1
Go Mini,8.0,39.6,498.0,33.62,5.0,3.1,3
Auto,7.9,42.4,213.0,12.76,4.4,3.8,3
Premier Sedan,2.7,15.1,644.0,40.51,4.3,3.2,0
Bike,9.3,43.8,129.0,15.46,4.5,4.3,0
Auto,11.5,21.4,393.0,25.83,4.4,3.8,3
Go Mini,3.8,36.1,1178.0,15.69,4.5,4.1,3
Auto,8.2,32.9,478.0,12.87,4.3,4.2,3
Go Mini,11.1,21.3,235.0,49.04,5.0,4.8,3
Auto,8.7,32.9,572.0,21.57,4.5,4.3,3
Premier Sedan,5.2,32.3,623.0,6.62,4.5,4.8,3
Auto,9.2,26.5,1079.0,26.61,4.2,3.8,2
Auto,3.5,29.6,518.0,15.19,4.4,4.2,3
Go Sedan,4.5,20.0,670.0,41.45,4.6,4.3,2
Premier Sedan,9.7,37.6,119.0,4.88,4.9,4.2,1
Premier Sedan,13.1,25.1,231.0,7.67,4.7,3.7,2
eBike,11.3,24.0,405.0,14.7,4.6,3.2,0
Auto,2.5,25.7,342.0,34.33,4.3,4.2,3
Go Sedan,4.8,21.6,113.0,6.54,4.3,4.1,2
Go Mini,8.4,22.6,65.0,47.21,4.3,4.7,2
Auto,9.7,31.4,968.0,33.64,4.3,4.6,3
Auto,2.6,42.3,418.0,15.69,4.3,3.7,0
Go Sedan,14.6,30.9,1290.0,38.86,4.3,4.9,0
Go Mini,2.7,21.4,636.0,45.13,4.2,3.8,1
Go Mini,13.6,38.2,215.0,10.13,4.6,4.1,3
Go Mini,2.4,17.4,198.0,39.96,4.3,4.3,4
Go Sedan,9.7,19.9,670.0,15.44,4.7,4.8,3
Premier Sedan,4.5,42.2,119.0,5.29,4.6,4.7,3
Go Sedan,12.4,16.3,676.0,37.67,4.5,4.3,0
Go Sedan,7.2,31.3,583.0,25.63,4.3,4.9,3
Bike,8.6,44.6,2077.0,11.77,3.3,4.3,0
eBike,3.2,17.1,144.0,26.72,4.4,4.2,3
Bike,11.2,15.4,235.0,46.75,4.6,4.7,3
Bike,11.2,34.8,983.0,21.75,4.5,4.9,3
Auto,12.5,32.3,454.0,7.3,4.6,4.9,2
Auto,11.9,17.5,842.0,19.88,4.4,4.7,1
Auto,12.9,19.4,344.0,36.17,3.5,4.8,1
Auto,8.8,25.7,1200.0,25.39,4.2,3.5,2
Premier Sedan,3.4,38.3,795.0,29.99,3.9,3.7,4
Go Mini,13.9,21.6,1399.0,39.59,4.2,4.8,3
Auto,2.2,35.8,918.0,28.15,4.4,4.7,0
Go Mini,11.1,33.8,464.0,8.59,3.0,4.6,3
Auto,8.8,16.8,1586.0,24.25,3.7,4.8,0
Go Mini,8.8,19.3,539.0,9.97,4.1,5.0,3
Go Sedan,10.6,32.2,800.0,38.62,4.3,5.0,1
Go Sedan,14.5,37.0,697.0,30.33,4.3,3.1,3
eBike,6.0,35.3,419.0,48.37,4.2,3.3,4
Go Mini,2.9,35.5,310.0,14.53,3.7,4.6,1
Auto,7.0,42.6,1526.0,23.8,4.4,5.0,2
Auto,10.1,17.4,158.0,12.47,4.2,4.2,3
Go Sedan,3.9,26.7,420.0,11.19,5.0,4.9,3
Auto,11.1,29.8,341.0,16.14,4.6,4.9,3
Auto,11.8,44.5,93.0,5.32,4.0,4.6,2
Premier Sedan,5.3,19.6,287.0,40.33,4.2,4.2,1
Auto,7.2,26.9,458.0,29.57,3.8,4.8,4
Premier Sedan,9.0,38.0,563.0,21.02,4.4,4.8,1
Go Mini,11.8,40.2,1503.0,25.96,3.3,4.9,0
Premier Sedan,7.0,16.3,670.0,4.01,4.4,4.3,3
Auto,9.3,17.2,1038.0,41.52,4.2,4.5,0
Bike,14.8,26.2,537.0,25.38,4.6,4.7,3
eBike,7.9,16.6,605.0,49.25,4.9,3.5,1
Auto,6.2,35.7,135.0,37.76,4.6,5.0,0
Go Sedan,11.0,26.1,325.0,46.36,4.7,4.2,3
eBike,12.5,33.0,1612.0,35.57,3.7,4.4,2
Go Mini,13.1,19.4,165.0,18.91,4.4,4.9,0
Auto,9.2,38.6,248.0,26.19,3.9,4.6,0
Auto,4.7,21.2,460.0,22.12,3.7,4.9,0
Go Sedan,5.5,17.5,515.0,23.56,3.7,5.0,3
Go Mini,8.3,37.3,893.0,3.68,4.3,4.9,0
Go Mini,3.8,44.7,403.0,49.27,4.6,4.3,3
Go Mini,13.8,30.8,435.0,22.16,3.9,3.8,3
Go Mini,10.7,43.9,223.0,49.21,4.6,4.8,2
Bike,2.7,18.0,599.0,29.91,3.7,4.2,3
Bike,14.2,20.9,233.0,16.9,4.3,4.5,3
Go Mini,13.3,44.0,252.0,13.02,4.7,4.9,3
Auto,10.6,39.7,921.0,40.02,4.1,4.9,3
Premier Sedan,8.0,31.2,90.0,9.42,4.4,4.4,0
Premier Sedan,12.8,35.1,924.0,5.2,3.4,4.7,3
Go Mini,13.1,29.9,402.0,6.96,4.4,4.2,0
Go Sedan,9.9,43.6,439.0,42.04,3.6,4.7,4
Bike,13.8,43.6,485.0,36.79,4.6,4.9,0
Auto,2.9,44.0,923.0,6.97,4.9,4.2,1
Go Mini,3.4,32.9,540.0,19.87,3.6,3.6,3
Auto,2.2,18.9,486.0,15.62,4.4,4.1,1
Auto,9.1,22.5,87.0,16.6,4.1,4.8,1
Go Mini,3.5,33.9,515.0,43.4,4.2,3.4,0
Auto,8.0,36.4,396.0,22.96,3.4,4.5,3
eBike,6.2,39.6,157.0,20.76,4.5,4.2,3
Premier Sedan,3.2,31.7,566.0,14.85,4.6,4.5,3
Auto,11.1,15.2,698.0,5.65,4.1,5.0,3
Go Sedan,9.2,18.9,457.0,22.38,4.3,4.4,3
Go Mini,10.8,16.8,969.0,44.97,4.7,4.6,0
Bike,11.8,26.1,291.0,17.58,3.8,3.7,0
Go Sedan,14.7,17.9,913.0,5.5,3.9,4.3,3
Premier Sedan,7.1,41.9,51.0,19.69,4.6,4.6,3
Premier Sedan,2.1,40.6,177.0,47.52,4.2,4.1,4
Bike,12.0,27.9,531.0,16.24,4.6,4.8,3
Bike,6.9,27.7,730.0,18.57,3.5,4.5,0
Go Mini,14.7,28.6,847.0,25.35,4.5,4.4,0
Auto,6.0,36.2,218.0,3.72,4.4,4.2,2
Auto,9.8,15.6,1064.0,16.5,4.0,5.0,3
Go Mini,10.6,38.0,395.0,43.75,4.7,4.3,3
Auto,11.5,39.1,718.0,27.87,3.7,4.5,4
Bike,12.5,37.3,985.0,12.22,4.3,3.9,0
Go Sedan,11.0,27.6,522.0,13.37,4.6,4.4,1
Bike,10.2,44.9,1010.0,12.18,4.6,4.6,0
Bike,9.1,24.8,618.0,13.06,3.7,4.8,3
Uber XL,9.9,26.9,1043.0,33.97,3.1,4.8,1
Go Sedan,5.2,29.2,583.0,46.73,4.2,4.9,0
Go Sedan,12.6,42.1,396.0,19.45,4.3,3.7,3
Go Mini,12.2,36.9,266.0,38.37,4.3,4.2,3
Premier Sedan,8.5,32.1,856.0,32.52,3.3,4.9,4
Auto,8.6,29.0,298.0,8.82,4.2,4.8,2
Go Mini,14.3,43.4,324.0,45.91,3.8,4.2,0
Auto,14.0,26.7,284.0,27.86,4.5,4.3,3
Bike,12.8,35.1,690.0,13.76,4.9,4.7,3
Go Sedan,11.3,40.6,305.0,7.33,4.0,4.5,1
Bike,15.0,19.9,1979.0,13.79,4.2,4.2,4
Bike,3.6,36.0,789.0,10.42,3.2,3.8,3
Go Mini,8.8,19.2,366.0,15.45,4.2,4.6,3
Go Sedan,12.9,35.6,343.0,35.82,3.8,4.2,3
Auto,9.5,29.3,962.0,10.98,4.0,4.8,1
Auto,13.7,28.1,330.0,42.51,4.6,3.3,3
Bike,6.9,31.4,182.0,40.21,4.4,4.3,0
Auto,5.5,39.9,964.0,41.12,4.6,4.1,3
Auto,12.8,31.0,294.0,5.2,4.9,4.9,3
Go Sedan,8.2,19.3,827.0,35.23,4.2,4.9,3
Bike,3.7,25.4,195.0,26.4,4.3,4.2,4
Auto,5.5,16.4,417.0,6.83,4.3,3.9,3
Bike,6.6,31.4,152.0,16.3,4.4,4.2,0
Auto,6.4,28.1,244.0,9.31,4.9,5.0,0
Go Mini,3.8,42.5,877.0,28.53,4.3,4.1,0
Premier Sedan,9.3,21.1,789.0,47.61,4.6,4.6,0
Go Mini,8.8,33.0,587.0,23.45,4.2,4.9,4
Bike,10.9,28.8,539.0,29.29,3.5,5.0,2
Go Mini,4.4,43.8,710.0,20.67,4.3,4.9,3
Go Sedan,10.5,29.3,200.0,15.64,3.8,3.3,3
Bike,3.2,39.6,647.0,18.82,4.2,4.4,2
Auto,12.1,36.7,72.0,8.69,3.8,3.7,4
Go Sedan,2.3,38.7,204.0,13.57,4.3,4.9,0
Bike,7.1,21.7,183.0,30.69,4.2,4.7,3
Go Sedan,13.2,17.1,61.0,25.39,4.6,4.1,2
Bike,7.0,41.1,129.0,45.04,4.2,4.2,3
eBike,12.4,42.2,110.0,32.38,4.2,4.2,1
Auto,10.9,16.0,750.0,46.83,4.2,3.7,0
Auto,5.4,28.2,68.0,10.54,4.9,5.0,0
Go Sedan,3.5,23.0,138.0,2.36,4.1,4.6,3
Go Mini,9.3,36.8,955.0,32.61,4.2,4.6,3
eBike,9.3,41.7,363.0,14.9,4.3,4.6,3
Go Sedan,7.5,30.2,261.0,22.22,4.2,4.2,2
Go Mini,6.7,38.1,264.0,49.92,4.2,4.2,3
Premier Sedan,3.1,31.8,871.0,43.31,4.3,4.2,0
Auto,3.9,42.2,351.0,11.77,4.9,4.9,3
Go Sedan,11.1,24.5,170.0,2.96,4.1,4.5,1
Auto,14.0,41.3,279.0,30.79,4.2,4.1,0
Auto,4.5,34.5,164.0,49.58,3.7,5.0,3
Go Sedan,4.3,28.2,96.0,47.28,3.9,4.3,3
Auto,8.6,43.3,131.0,3.2,4.6,4.2,4
Auto,6.4,18.7,241.0,7.08,4.0,4.5,4
Premier Sedan,14.2,33.6,233.0,35.27,4.9,3.9,3
Auto,6.3,35.4,79.0,38.66,4.3,4.8,0
Auto,14.1,21.1,150.0,15.0,4.4,4.8,3
Bike,4.8,31.5,400.0,16.93,4.4,3.7,3
Auto,2.1,25.9,407.0,4.03,4.2,5.0,3
Auto,4.9,23.8,322.0,24.49,4.2,4.8,0
Go Mini,9.6,32.2,1052.0,48.06,4.3,4.7,4
Go Sedan,5.3,41.5,181.0,18.28,4.3,4.1,0
Auto,13.1,26.5,151.0,18.89,4.6,4.3,3
Go Sedan,7.5,39.8,921.0,30.39,4.1,4.6,3
Auto,12.6,20.6,287.0,32.82,3.1,4.2,2
Premier Sedan,10.4,38.2,885.0,11.21,4.3,4.6,4
Bike,8.0,36.2,334.0,43.44,4.3,3.8,2
Go Mini,4.1,22.4,344.0,45.38,4.8,4.1,3
Bike,5.4,18.8,453.0,36.08,3.7,4.2,0
Premier Sedan,12.2,33.2,121.0,8.59,4.7,4.2,3
Go Mini,2.8,32.6,411.0,7.94,4.6,4.3,3
Auto,8.2,34.6,111.0,49.57,4.9,4.7,1
Go Mini,14.8,38.9,971.0,18.8,4.9,5.0,3
Auto,8.2,44.2,463.0,26.06,4.9,4.7,2
eBike,7.3,37.5,637.0,13.23,4.3,3.0,3
Go Sedan,3.0,42.1,548.0,31.66,3.3,4.6,2
Go Sedan,10.1,20.9,1311.0,8.37,4.6,4.9,3
Go Mini,3.6,44.2,161.0,12.65,3.2,4.9,3
eBike,10.1,22.9,110.0,28.81,4.1,5.0,3
Go Sedan,11.1,40.1,304.0,27.47,3.9,3.2,4
Auto,6.9,44.4,675.0,48.46,3.6,4.8,0
Go Sedan,13.2,16.8,73.0,15.67,4.3,4.3,2
eBike,8.2,33.4,442.0,12.21,4.2,4.2,0
Auto,10.4,17.1,819.0,40.9,4.1,3.7,3
Bike,10.7,23.9,228.0,41.19,4.3,4.6,3
Go Mini,11.6,20.7,638.0,24.47,4.6,4.1,3
Uber XL,7.3,43.5,644.0,14.98,4.2,5.0,3
Go Sedan,12.8,32.3,149.0,18.15,4.3,4.8,0
Auto,14.5,32.5,919.0,13.68,4.4,4.3,0
Auto,13.5,18.8,624.0,8.55,4.5,4.7,3
eBike,11.7,25.6,534.0,43.16,4.3,3.5,3
Auto,13.9,20.4,287.0,27.73,4.3,4.6,2
Auto,5.4,26.0,424.0,2.13,3.8,4.6,3
Auto,15.0,27.1,584.0,12.57,4.1,4.9,1
Go Sedan,4.1,16.7,187.0,36.47,3.9,4.5,0
Go Mini,13.4,31.8,411.0,15.29,4.8,4.9,0
Bike,13.2,27.3,335.0,16.39,4.5,3.4,3
Bike,14.3,27.7,569.0,15.72,4.0,4.5,3
Premier Sedan,14.2,37.5,207.0,31.7,4.4,4.3,3
Premier Sedan,6.0,15.9,769.0,46.35,3.0,4.7,0
Auto,14.0,29.6,222.0,26.63,4.5,4.4,0
Auto,14.0,34.4,514.0,35.97,4.9,4.6,1
Uber XL,5.6,36.6,528.0,30.13,4.5,3.4,2
Go Sedan,12.7,24.3,344.0,29.64,3.1,4.6,3
Bike,7.2,34.7,307.0,7.57,4.4,4.9,1
Go Sedan,3.5,27.4,861.0,32.69,4.6,4.6,2
Go Sedan,3.4,24.2,699.0,11.24,4.2,4.9,4
eBike,11.8,34.6,492.0,48.72,4.2,4.6,0
Bike,3.0,16.1,387.0,45.87,4.5,4.9,3
Auto,5.0,31.0,1770.0,39.44,4.1,4.9,4
Go Sedan,4.3,23.2,182.0,11.54,3.2,4.6,3
Auto,8.4,24.0,1116.0,37.99,3.7,3.5,3
Go Sedan,11.4,20.3,368.0,21.88,4.9,4.7,3
Bike,4.9,28.8,507.0,36.56,3.0,4.7,1
Go Mini,9.5,39.7,1008.0,40.09,4.5,4.3,4
Go Mini,2.1,19.3,972.0,7.74,4.7,4.8,3
Bike,11.2,38.0,1248.0,42.88,4.2,4.6,4
Bike,3.5,15.8,779.0,23.45,4.2,4.7,0
eBike,4.5,22.0,311.0,8.07,3.8,4.9,1
eBike,12.2,18.5,123.0,15.6,4.4,4.2,3
Go Sedan,14.1,20.9,1293.0,35.35,4.1,4.9,0
Bike,9.3,36.0,629.0,6.19,4.1,5.0,3
Uber XL,10.2,25.8,432.0,5.7,3.6,4.4,3
Premier Sedan,2.2,24.9,352.0,43.18,4.3,4.7,4
Go Sedan,8.2,42.5,643.0,31.48,4.8,4.2,3
Go Mini,7.8,27.8,359.0,43.17,3.9,4.5,0
Premier Sedan,7.5,22.6,485.0,49.36,4.2,4.6,3
Go Mini,13.6,24.5,208.0,11.82,4.9,4.6,0
eBike,6.3,27.8,53.0,44.31,3.9,4.4,3
Premier Sedan,14.9,40.4,254.0,47.11,4.6,4.1,0
Bike,14.7,31.6,513.0,13.36,5.0,4.1,0
Bike,2.3,39.6,432.0,30.84,3.2,4.8,2
Auto,4.6,27.0,438.0,8.97,4.0,5.0,3
Go Mini,11.0,36.0,1370.0,49.49,3.3,4.6,0
Go Sedan,5.5,39.4,608.0,5.41,4.3,4.2,3
Auto,9.5,30.5,109.0,42.88,4.3,4.5,3
Go Mini,8.9,35.2,845.0,22.92,4.1,4.2,4
eBike,6.6,32.6,485.0,36.98,4.6,4.3,0
eBike,12.1,22.4,137.0,14.32,4.3,5.0,0
eBike,11.3,41.8,2393.0,40.4,4.1,4.9,3
Auto,6.0,26.0,318.0,47.17,4.4,4.3,3
Go Mini,12.9,31.7,192.0,43.02,4.2,4.9,3
Go Mini,4.6,35.3,556.0,11.04,4.7,4.7,1
Premier Sedan,14.7,18.7,90.0,22.67,4.6,3.3,0
Auto,2.7,15.9,400.0,47.61,4.2,4.3,4
eBike,11.7,18.8,339.0,36.19,4.3,4.5,2
Go Sedan,5.4,32.7,937.0,36.53,5.0,3.8,0
Auto,3.1,18.4,539.0,40.51,3.1,4.2,2
Go Mini,8.8,23.7,673.0,25.98,4.2,4.7,2
Auto,7.1,26.1,954.0,9.31,4.1,4.7,3
Premier Sedan,12.9,36.1,428.0,26.78,4.3,4.8,2
Go Mini,12.8,29.3,137.0,7.39,4.4,4.6,0
Bike,10.2,17.1,519.0,40.55,4.4,4.9,4
Go Sedan,11.4,36.8,466.0,43.03,4.4,4.3,3
Go Mini,6.6,24.9,638.0,39.64,4.5,4.6,3
Go Mini,7.3,19.9,170.0,4.34,4.6,3.2,3
Go Sedan,3.1,40.9,359.0,11.47,4.2,5.0,3
Go Mini,7.4,44.1,729.0,39.54,4.6,4.9,3
Premier Sedan,2.5,19.1,992.0,35.08,4.6,4.3,0
Go Sedan,4.8,20.9,409.0,2.17,4.6,4.2,0
Go Sedan,8.1,22.9,583.0,27.53,4.3,4.4,3
Bike,13.6,19.9,209.0,24.07,4.6,4.3,0
Auto,11.1,29.5,269.0,6.33,4.2,4.9,2
Go Sedan,13.9,32.1,311.0,23.71,4.7,4.2,3
Bike,13.9,15.9,363.0,15.66,4.8,4.1,1
Auto,15.0,29.2,234.0,43.87,3.2,3.1,0
Go Mini,9.7,35.9,393.0,17.64,5.0,4.3,3
Auto,2.6,17.6,189.0,32.84,3.6,4.3,2
Bike,8.7,37.6,327.0,30.95,4.4,3.9,3
Auto,6.8,30.7,347.0,19.55,3.9,5.0,1
Go Mini,7.4,26.6,846.0,5.94,4.2,4.5,0
Auto,12.0,28.5,603.0,10.83,4.3,4.2,0
Auto,4.8,21.6,172.0,29.11,4.9,4.5,3
eBike,13.8,17.2,207.0,39.09,4.5,4.2,3
Bike,11.3,17.8,709.0,22.01,3.5,4.8,1
Bike,9.4,30.3,279.0,27.98,5.0,4.2,3
Go Sedan,11.3,39.0,434.0,25.38,3.8,4.4,3
Uber XL,9.8,28.1,482.0,46.69,3.1,4.2,3
eBike,14.4,23.5,341.0,43.09,3.8,4.8,0
Auto,14.4,23.4,119.0,32.46,4.5,4.2,3
eBike,5.9,33.3,90.0,32.22,3.5,3.2,0
Bike,13.8,37.7,387.0,14.03,3.7,4.3,3
Bike,8.9,39.0,73.0,45.04,4.2,4.9,3
Bike,8.5,43.2,914.0,5.56,3.8,4.7,3
Auto,7.7,17.1,164.0,31.07,4.1,4.1,1
eBike,12.2,19.4,261.0,6.02,4.4,4.6,0
Premier Sedan,4.1,30.4,283.0,2.27,3.9,4.3,1
Bike,10.3,33.4,420.0,23.54,4.3,4.2,4
Auto,5.8,43.0,110.0,30.27,4.1,4.9,1
Auto,14.5,37.7,484.0,35.84,4.5,4.3,0
Premier Sedan,4.8,16.4,570.0,33.17,4.3,4.5,2
Go Mini,7.4,39.8,434.0,3.39,4.1,4.8,3
Premier Sedan,4.5,35.9,251.0,37.79,3.6,4.4,4
eBike,11.8,23.2,437.0,20.4,3.0,4.5,4
Go Mini,8.7,27.3,616.0,15.2,4.1,4.6,1
Go Mini,4.2,36.6,441.0,8.1,4.5,4.9,2
Go Mini,4.8,40.7,874.0,21.19,3.9,4.3,0
Go Mini,14.1,32.5,1606.0,31.06,4.2,3.9,3
Bike,14.2,37.6,426.0,28.83,4.3,4.3,2
Auto,11.8,31.0,1142.0,43.85,4.2,4.9,3
Bike,2.8,44.5,360.0,17.78,4.9,4.0,2
Bike,13.7,24.0,435.0,11.08,4.3,3.5,2
Auto,11.5,37.6,525.0,25.55,3.7,3.1,4
Bike,8.7,31.7,815.0,47.59,3.3,4.2,3
Go Sedan,12.5,25.9,471.0,28.41,4.6,4.6,3
Auto,12.7,27.9,782.0,21.44,4.5,4.7,2
Go Sedan,9.6,36.8,1044.0,34.18,5.0,4.9,0
Auto,12.7,30.4,293.0,44.09,4.1,4.1,3
Go Mini,11.4,41.8,1343.0,11.31,4.1,4.8,3
Auto,12.6,20.8,789.0,25.04,4.3,4.3,3
Bike,12.7,41.2,134.0,44.61,3.6,4.1,3
Auto,5.9,37.4,553.0,49.91,4.3,4.8,4
Premier Sedan,8.3,43.0,274.0,15.96,4.5,4.1,3
Premier Sedan,11.8,30.1,429.0,47.94,4.6,4.8,3
Premier Sedan,11.8,41.3,407.0,33.35,4.5,4.3,3
Go Mini,8.5,31.0,995.0,2.97,4.2,4.3,3
Auto,3.8,24.4,169.0,23.5,4.4,5.0,0
Bike,8.1,31.4,95.0,14.93,3.3,4.7,1
eBike,2.4,27.8,884.0,45.22,4.4,4.0,2
Go Mini,6.8,25.3,1004.0,22.6,4.2,4.6,3
Go Mini,5.3,19.6,392.0,45.54,5.0,4.3,4
Bike,5.3,44.7,469.0,8.14,3.3,4.1,3
Bike,3.8,18.9,976.0,38.2,4.3,4.9,0
Uber XL,14.3,17.4,432.0,17.25,3.8,3.3,3
Bike,3.8,36.7,125.0,5.43,3.8,4.3,3
Go Mini,8.5,40.6,448.0,20.41,4.2,3.9,3
Auto,5.4,23.6,700.0,34.61,4.2,4.5,1
Premier Sedan,9.2,24.8,450.0,13.64,3.2,3.0,3
Auto,10.3,19.2,558.0,42.89,3.9,3.6,2
eBike,3.6,34.1,624.0,32.0,4.4,4.3,3
Auto,5.3,26.2,358.0,38.84,4.3,4.3,3
Go Mini,10.4,27.0,444.0,4.69,3.8,4.9,1
Auto,12.8,30.4,378.0,31.05,4.3,4.9,3
Premier Sedan,9.5,43.7,872.0,46.1,4.4,4.1,3
Premier Sedan,13.7,32.9,491.0,25.51,4.2,4.8,0
Bike,4.3,15.8,482.0,19.84,4.2,4.2,0
Premier Sedan,6.9,20.8,933.0,43.8,4.6,4.5,3
Auto,3.4,23.5,736.0,48.75,5.0,4.8,3
Go Mini,4.5,23.5,415.0,30.83,3.9,4.3,3
Go Mini,6.7,36.3,351.0,12.85,4.3,4.8,3
Go Mini,7.2,22.7,331.0,15.21,4.6,4.8,3
Go Sedan,8.1,40.6,258.0,27.75,4.6,4.3,4
Auto,9.4,20.6,274.0,24.67,4.9,4.8,3
Bike,11.5,24.0,133.0,14.11,4.4,4.4,3
Premier Sedan,14.7,38.7,381.0,19.16,4.2,4.8,3
Go Sedan,6.0,18.1,640.0,23.09,4.6,4.4,0
Bike,11.2,23.9,201.0,16.65,4.6,3.4,4
Auto,13.4,18.2,226.0,14.8,4.7,4.6,3
Go Sedan,7.0,19.1,1243.0,35.42,4.9,4.5,4
eBike,12.7,38.9,1073.0,44.57,4.3,4.4,2
Premier Sedan,9.1,41.9,304.0,38.38,4.0,4.3,3
Go Mini,11.4,31.8,1056.0,39.59,4.6,4.2,0
Auto,6.2,17.2,412.0,7.47,4.8,4.9,3
Go Sedan,3.7,44.2,942.0,44.52,4.1,4.4,3
Go Mini,5.6,17.5,326.0,31.28,4.3,4.1,3
Auto,5.8,18.6,913.0,14.45,4.4,3.8,0
Bike,7.5,43.8,350.0,21.57,3.9,4.7,3
Go Sedan,5.8,37.2,1015.0,34.79,4.3,3.8,4
Auto,8.8,20.0,650.0,25.82,4.5,4.6,0
Premier Sedan,14.9,42.7,418.0,20.42,4.2,4.3,3
Go Sedan,4.4,42.3,111.0,7.68,4.6,3.8,3
Go Sedan,2.8,17.3,363.0,22.61,4.0,5.0,4
eBike,8.9,18.9,504.0,22.21,3.6,4.9,0
Uber XL,10.7,26.5,649.0,12.53,4.7,4.4,0
Go Mini,7.3,44.7,335.0,39.23,3.3,4.9,3
Go Sedan,11.3,37.4,468.0,40.11,4.6,4.6,0
eBike,7.2,41.5,781.0,32.92,4.4,4.2,3
Auto,10.3,20.1,371.0,25.14,4.9,4.4,4
Bike,3.2,29.6,679.0,48.5,4.9,4.3,3
Auto,2.4,39.0,332.0,11.31,4.2,4.2,3
Auto,14.6,15.5,610.0,20.22,3.7,4.3,0
Auto,13.5,31.4,639.0,3.87,4.7,4.6,3
Go Sedan,4.7,35.9,212.0,2.03,4.2,4.6,3
Go Mini,14.5,37.7,91.0,11.74,3.3,4.4,3
Auto,2.4,19.5,2526.0,49.28,4.4,3.8,3
Go Mini,6.2,41.4,1402.0,49.54,4.6,4.2,3
Go Mini,2.3,36.7,272.0,26.38,4.3,4.6,1
Go Mini,8.6,29.7,585.0,3.88,4.1,4.5,0
Bike,14.9,15.5,345.0,7.82,4.1,5.0,3
Go Sedan,2.7,33.4,190.0,5.54,3.7,5.0,3
Auto,10.1,16.2,78.0,35.7,4.7,4.2,0
Go Sedan,5.3,26.9,780.0,9.24,4.4,4.0,3
Go Mini,6.5,36.3,76.0,11.49,4.4,4.3,0
Auto,13.9,17.0,192.0,16.78,4.2,4.6,1
Go Mini,2.8,31.8,837.0,21.05,4.4,4.6,4
eBike,3.1,16.2,925.0,21.74,3.9,4.2,2
Go Sedan,12.6,36.2,364.0,29.98,4.9,4.6,3
Go Sedan,12.8,37.6,516.0,37.83,4.3,3.3,3
eBike,12.6,34.6,189.0,46.01,4.3,3.3,3
Premier Sedan,13.4,26.7,891.0,5.76,5.0,4.2,3
Auto,12.9,40.4,132.0,3.66,4.3,4.3,4
Go Sedan,2.5,16.1,924.0,10.48,3.8,4.5,0
eBike,2.5,25.3,332.0,30.31,4.2,4.4,3
Go Mini,4.7,39.5,167.0,12.92,4.4,4.2,3
Uber XL,4.8,27.9,720.0,38.2,4.1,4.1,3
Go Sedan,5.4,26.7,154.0,44.82,3.6,4.6,4
Auto,3.6,43.9,738.0,5.92,3.5,3.7,0
Go Mini,4.8,31.9,493.0,19.3,4.4,4.9,1
Premier Sedan,4.7,24.6,168.0,5.08,4.3,4.6,3
eBike,10.8,25.2,602.0,27.43,4.3,3.9,3
Go Sedan,5.0,24.0,334.0,38.17,3.9,4.2,0
Go Sedan,6.4,34.3,479.0,7.27,4.3,4.1,2
Bike,3.4,33.6,262.0,24.81,3.7,4.6,3
Auto,7.0,35.1,579.0,27.33,4.3,5.0,0
Auto,10.4,19.6,192.0,4.75,3.9,4.4,0
eBike,11.6,25.4,311.0,18.19,4.2,4.5,2
Auto,8.2,26.9,657.0,41.03,5.0,4.9,3
Go Sedan,4.8,32.0,557.0,40.24,4.5,4.9,3
Premier Sedan,10.1,16.9,1615.0,17.22,3.3,4.5,3
Auto,8.8,39.7,638.0,46.41,4.9,3.9,1
